municipio_id,municipio_nome,uf,ano,populacao_estimada
2205565,Lagoa do Barro do Piauí,PI,2019,4655
2205565,Lagoa do Barro do Piauí,PI,2020,4656
2205565,Lagoa do Barro do Piauí,PI,2021,4658
2205565,Lagoa do Barro do Piauí,PI,2024,5146
2205573,Lagoa de São Francisco,PI,2019,6758
2205573,Lagoa de São Francisco,PI,2020,6777
2205573,Lagoa de São Francisco,PI,2021,6795
2205573,Lagoa de São Francisco,PI,2024,6449
2205581,Lagoa do Piauí,PI,2019,4064
2205581,Lagoa do Piauí,PI,2020,4075
2205581,Lagoa do Piauí,PI,2021,4086
2205581,Lagoa do Piauí,PI,2024,5009
2205599,Lagoa do Sítio,PI,2019,5177
2205599,Lagoa do Sítio,PI,2020,5198
2205599,Lagoa do Sítio,PI,2021,5219
2205599,Lagoa do Sítio,PI,2024,4575
2205607,Landri Sales,PI,2019,5295
2205607,Landri Sales,PI,2020,5283
2205607,Landri Sales,PI,2021,5272
2205607,Landri Sales,PI,2024,5311
2205706,Luís Correia,PI,2019,30311
2205706,Luís Correia,PI,2020,30438
2205706,Luís Correia,PI,2021,30558
2205706,Luís Correia,PI,2024,31775
2205805,Luzilândia,PI,2019,25486
2205805,Luzilândia,PI,2020,25504
2205805,Luzilândia,PI,2021,25521
2205805,Luzilândia,PI,2024,26204
2205854,Madeiro,PI,2019,8310
2205854,Madeiro,PI,2020,8342
2205854,Madeiro,PI,2021,8372
2205854,Madeiro,PI,2024,8218
2205904,Manoel Emídio,PI,2019,5349
2205904,Manoel Emídio,PI,2020,5351
2205904,Manoel Emídio,PI,2021,5352
2205904,Manoel Emídio,PI,2024,5314
2205953,Marcolândia,PI,2019,8492
2205953,Marcolândia,PI,2020,8543
2205953,Marcolândia,PI,2021,8590
2205953,Marcolândia,PI,2024,8783
2206001,Marcos Parente,PI,2019,4549
2206001,Marcos Parente,PI,2020,4547
2206001,Marcos Parente,PI,2021,4546
2206001,Marcos Parente,PI,2024,4848
2206050,Massapê do Piauí,PI,2019,6441
2206050,Massapê do Piauí,PI,2020,6449
2206050,Massapê do Piauí,PI,2021,6456
2206050,Massapê do Piauí,PI,2024,5215
2206100,Matias Olímpio,PI,2019,10936
2206100,Matias Olímpio,PI,2020,10958
2206100,Matias Olímpio,PI,2021,10979
2206100,Matias Olímpio,PI,2024,10875
2206209,Miguel Alves,PI,2019,33760
2206209,Miguel Alves,PI,2020,33833
2206209,Miguel Alves,PI,2021,33901
